"VariableName","Value","ValueLabel"
"FIPS state code (HD2012)","19","Iowa"
"FIPS state code (HD2012)","20","Kansas"
"FIPS state code (HD2012)","21","Kentucky"
"FIPS state code (HD2012)","22","Louisiana"
"FIPS state code (HD2012)","24","Maryland"
"FIPS state code (HD2012)","25","Massachusetts"
"FIPS state code (HD2012)","26","Michigan"
"FIPS state code (HD2012)","27","Minnesota"
"FIPS state code (HD2012)","28","Mississippi"
"FIPS state code (HD2012)","29","Missouri"
"FIPS state code (HD2012)","31","Nebraska"
"FIPS state code (HD2012)","32","Nevada"
"FIPS state code (HD2012)","34","New Jersey"
"FIPS state code (HD2012)","35","New Mexico"
"FIPS state code (HD2012)","36","New York"
"FIPS state code (HD2012)","37","North Carolina"
"FIPS state code (HD2012)","39","Ohio"
"FIPS state code (HD2012)","40","Oklahoma"
"FIPS state code (HD2012)","41","Oregon"
"FIPS state code (HD2012)","42","Pennsylvania"
"FIPS state code (HD2012)","45","South Carolina"
"FIPS state code (HD2012)","47","Tennessee"
"FIPS state code (HD2012)","48","Texas"
"FIPS state code (HD2012)","49","Utah"
"FIPS state code (HD2012)","51","Virginia"
"FIPS state code (HD2012)","53","Washington"
"FIPS state code (HD2012)","54","West Virginia"
"FIPS state code (HD2012)","55","Wisconsin"
"FIPS state code (HD2012)","56","Wyoming"
"OPE Title IV eligibility indicator code (HD2012)","1","Participates in Title IV federal financial aid programs"
"OPE Title IV eligibility indicator code (HD2012)","3","Deferment only - limited participation"
"OPE Title IV eligibility indicator code (HD2012)","5","Not currently participating in Title IV, has an OPE ID number"
"Level of institution (HD2012)","1","Four or more years"
"Control of institution (HD2012)","1","Public"
"Control of institution (HD2012)","2","Private not-for-profit"
"NCAA/NAIA conference number football (IC2012_RV)","102","Atlantic Coast Conference"
"NCAA/NAIA conference number football (IC2012_RV)","104","Big East Conference"
"NCAA/NAIA conference number football (IC2012_RV)","106","Big South Conference"
"NCAA/NAIA conference number football (IC2012_RV)","107","Big Ten Conference"
"NCAA/NAIA conference number football (IC2012_RV)","108","Big Twelve Conference"
"NCAA/NAIA conference number football (IC2012_RV)","110","Colonial Athletic Association"
"NCAA/NAIA conference number football (IC2012_RV)","111","Conference USA"
"NCAA/NAIA conference number football (IC2012_RV)","113","Division I-A Independents"
"NCAA/NAIA conference number football (IC2012_RV)","114","Division I-AA Independents"
"NCAA/NAIA conference number football (IC2012_RV)","119","Mid-American Conference"
"NCAA/NAIA conference number football (IC2012_RV)","203","Mountain West Conference"
"NCAA/NAIA conference number football (IC2012_RV)","127","Pacific-12 Conference"
"NCAA/NAIA conference number football (IC2012_RV)","130","Southeastern Conference"
"NCAA/NAIA conference number football (IC2012_RV)","131","Southern Conference"
"NCAA/NAIA conference number football (IC2012_RV)","132","Southland Conference"
"NCAA/NAIA conference number football (IC2012_RV)","134","Sun Belt Conference"
"NCAA/NAIA conference number football (IC2012_RV)","137","Western Athletic Conference"
"NCAA/NAIA conference number football (IC2012_RV)","342","Other"
"NCAA/NAIA conference number football (IC2012_RV)","-2","Not applicable"
"FIPS state code (HD2011)","1","Alabama"
"FIPS state code (HD2011)","4","Arizona"
"FIPS state code (HD2011)","5","Arkansas"
"FIPS state code (HD2011)","6","California"
"FIPS state code (HD2011)","8","Colorado"
"FIPS state code (HD2011)","12","Florida"
"FIPS state code (HD2011)","13","Georgia"
"FIPS state code (HD2011)","16","Idaho"
"FIPS state code (HD2011)","17","Illinois"
"FIPS state code (HD2011)","18","Indiana"
"FIPS state code (HD2011)","19","Iowa"
"FIPS state code (HD2011)","20","Kansas"
"FIPS state code (HD2011)","21","Kentucky"
"FIPS state code (HD2011)","22","Louisiana"
"FIPS state code (HD2011)","24","Maryland"
"FIPS state code (HD2011)","25","Massachusetts"
"FIPS state code (HD2011)","26","Michigan"
"FIPS state code (HD2011)","27","Minnesota"
"FIPS state code (HD2011)","28","Mississippi"
"FIPS state code (HD2011)","29","Missouri"
"FIPS state code (HD2011)","31","Nebraska"
"FIPS state code (HD2011)","32","Nevada"
"FIPS state code (HD2011)","34","New Jersey"
"FIPS state code (HD2011)","35","New Mexico"
"FIPS state code (HD2011)","36","New York"
"FIPS state code (HD2011)","37","North Carolina"
"FIPS state code (HD2011)","39","Ohio"
"FIPS state code (HD2011)","40","Oklahoma"
"FIPS state code (HD2011)","41","Oregon"
"FIPS state code (HD2011)","42","Pennsylvania"
"FIPS state code (HD2011)","45","South Carolina"
"FIPS state code (HD2011)","47","Tennessee"
"FIPS state code (HD2011)","48","Texas"
"FIPS state code (HD2011)","49","Utah"
"FIPS state code (HD2011)","51","Virginia"
"FIPS state code (HD2011)","53","Washington"
"FIPS state code (HD2011)","54","West Virginia"
"FIPS state code (HD2011)","55","Wisconsin"
"FIPS state code (HD2011)","56","Wyoming"
"OPE Title IV eligibility indicator code (HD2011)","1","Participates in Title IV federal financial aid programs"
"OPE Title IV eligibility indicator code (HD2011)","3","Deferment only - limited participation"
"OPE Title IV eligibility indicator code (HD2011)","5","Not currently participating in Title IV, has an OPE ID number"
"Level of institution (HD2011)","1","Four or more years"
"Control of institution (HD2011)","1","Public"
"Control of institution (HD2011)","2","Private not-for-profit"
"NCAA/NAIA conference number football (IC2011_RV)","102","Atlantic Coast Conference"
"NCAA/NAIA conference number football (IC2011_RV)","104","Big East Conference"
"NCAA/NAIA conference number football (IC2011_RV)","106","Big South Conference"
"NCAA/NAIA conference number football (IC2011_RV)","107","Big Ten Conference"
"NCAA/NAIA conference number football (IC2011_RV)","108","Big Twelve Conference"
"NCAA/NAIA conference number football (IC2011_RV)","110","Colonial Athletic Association"
"NCAA/NAIA conference number football (IC2011_RV)","111","Conference USA"
"NCAA/NAIA conference number football (IC2011_RV)","113","Division I-A Independents"
"NCAA/NAIA conference number football (IC2011_RV)","114","Division I-AA Independents"
"NCAA/NAIA conference number football (IC2011_RV)","119","Mid-American Conference"
"NCAA/NAIA conference number football (IC2011_RV)","203","Mountain West Conference"
"NCAA/NAIA conference number football (IC2011_RV)","127","Pacific-10 Conference"
"NCAA/NAIA conference number football (IC2011_RV)","130","Southeastern Conference"
"NCAA/NAIA conference number football (IC2011_RV)","131","Southern Conference"
"NCAA/NAIA conference number football (IC2011_RV)","132","Southland Conference"
"NCAA/NAIA conference number football (IC2011_RV)","134","Sun Belt Conference"
"NCAA/NAIA conference number football (IC2011_RV)","137","Western Athletic Conference"
"NCAA/NAIA conference number football (IC2011_RV)","342","Other"
"NCAA/NAIA conference number football (IC2011_RV)","-2","Not applicable"
